epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,12613,1.17655,0.70602,0.87703,0.56177,0.42411,0.42795,0.25423,1.28167,0.89523,0.90798,0.0002278,0.0002278,0.0002278
80,12767.4,1.1778,0.70571,0.87723,0.5676,0.42252,0.42594,0.25311,1.2818,0.89489,0.90894,0.0002179,0.0002179,0.0002179
81,12920.5,1.17485,0.70236,0.87694,0.55549,0.42982,0.42664,0.25414,1.28182,0.89509,0.90847,0.000208,0.000208,0.000208
82,13073.3,1.16826,0.6973,0.87739,0.55585,0.42882,0.42592,0.25426,1.27792,0.89651,0.90784,0.0001981,0.0001981,0.0001981
83,13227.1,1.16707,0.69589,0.87633,0.55702,0.43229,0.42644,0.25392,1.27892,0.89595,0.90825,0.0001882,0.0001882,0.0001882
84,13382.7,1.16458,0.69252,0.87613,0.55951,0.42922,0.42613,0.254,1.27672,0.89671,0.90745,0.0001783,0.0001783,0.0001783
85,13536.6,1.16434,0.68957,0.87366,0.55664,0.43056,0.42642,0.25402,1.27742,0.89727,0.90741,0.0001684,0.0001684,0.0001684
86,13692.1,1.16237,0.68912,0.87535,0.55195,0.4348,0.42672,0.25399,1.27566,0.89744,0.90708,0.0001585,0.0001585,0.0001585
87,13845.9,1.15781,0.68571,0.87461,0.55251,0.43111,0.42681,0.2543,1.27695,0.89712,0.90739,0.0001486,0.0001486,0.0001486
88,14001.1,1.15843,0.68381,0.87358,0.56045,0.4281,0.42621,0.25393,1.27668,0.89637,0.90777,0.0001387,0.0001387,0.0001387
89,14155.1,1.15994,0.68376,0.87451,0.56253,0.42835,0.42473,0.25299,1.27971,0.89778,0.90835,0.0001288,0.0001288,0.0001288
90,14309.5,1.1531,0.67988,0.87334,0.55815,0.42908,0.42578,0.25349,1.27942,0.89632,0.90853,0.0001189,0.0001189,0.0001189
91,14463.7,1.15591,0.67882,0.87205,0.56216,0.43045,0.42641,0.25335,1.27932,0.8962,0.90826,0.000109,0.000109,0.000109
92,14616.2,1.14898,0.67472,0.87193,0.55935,0.43098,0.42611,0.25365,1.27784,0.89486,0.90825,9.91e-05,9.91e-05,9.91e-05
93,14771.7,1.14936,0.6725,0.87273,0.56358,0.42906,0.42709,0.25399,1.27736,0.89517,0.90807,8.92e-05,8.92e-05,8.92e-05
94,14924.8,1.1464,0.66991,0.87143,0.56244,0.42992,0.42642,0.25353,1.27757,0.89712,0.908,7.93e-05,7.93e-05,7.93e-05
95,15078.2,1.14728,0.66833,0.87034,0.56015,0.42899,0.42618,0.25299,1.278,0.89902,0.90821,6.94e-05,6.94e-05,6.94e-05
96,15231.6,1.14576,0.66705,0.87031,0.55597,0.42824,0.42556,0.25307,1.27896,0.89786,0.90821,5.95e-05,5.95e-05,5.95e-05
